SongId,SongName,Artist,Language,Album,Composer,Release Date,Path,TotalFrequency
song25,Chale Aana,Armaan Malik,Hindi,Bollywood Top Songs (2020),Armaan Malik,,src/main/resources/songs/Chale-Aana.mp3,1076
song13,Onde Ondu Saari - PagalWorld.NL,"Kunal Ganjawala, Priya Hemesh",Kannada,Mungaru Male (2006) | PagalWorld.NL,PagalWorld.NL,,src/main/resources/songs/Onde Ondu Saari.mp3,1074
song35,Saami Saami,Rajalakshmi Senthiganesh,Tamil,Devi Sri Prasad,MastMillan,,src/main/resources/songs/Saami Saami-Masstamilan.In.mp3,1074
song5,Kannau Hodiyaka - MyMp3Bhojpuri.In,Shreya Ghoshal | MyMp3Bhojpuri.In,Kannada,Robert (2021) | MyMp3Bhojpuri.In,MyMp3Bhojpuri.In,,src/main/resources/songs/Kannau Hodiyaka.mp3,1067
song41,Janani,M. M. Keeravani,Tamil,Maragathamani,"Sirivennela Seetharama Sastry, Chandrabose, M. M. Keeravaani, Suddala Ashok Teja, K. Shiva Dutta, Ramajogayya Sastry",,src/main/resources/songs/Janani-MassTamilan.so.mp3,1068
song11,Torture Song - 777 Charlie - PagalWorld.NL,Vijay Prakash,Kannada,777 Charlie (2022) | PagalWorld.NL,PagalWorld.NL,,src/main/resources/songs/Torture Song - 777 Charlie.mp3,1053
song23,Kabhi-Kabhi-Aditi-Zindagi(PaglaSongs),Rashid Ali,Hindi,Bollywood Top Songs (2020),A.R. Rahman,,src/main/resources/songs/Kabhi-Kabhi-Aditi-Zindagi(PaglaSongs).mp3,1052
song33,Odu Odu Aadu,Benny Dayal,Tamil,Devi Sri Prasad,MastMillan,,src/main/resources/songs/Odu Odu Aadu-Masstamilan.In.mp3,1052
song48,Haldi Song,Aa Lele,Tulu,Raj Sounds And Lights,Rahul Vineeth Srajan Kumar,,"src/main/resources/songs/onlymp3.to - Haldi Song Aa Lele - Lyrical Video  Raj Sounds And Lights - Tulu Movie Rahul,Vineeth, Srajan Kumar-hQCCVlak7EA-192k-1659997508135.mp3",1049
song38,Raasaadhi Raasan,"Ron Ethan Yohann, Vandana",Tamil,Ron Ethan Yohann,Gnanakaravel,,src/main/resources/songs/Raasaadhi-Raasan-MassTamilan.dev.mp3,1065
song2,Ninadene Januma - PagalWorld.NL,Nakul Abhyankar,Kannada,Love Mocktail 2 (2021) | PagalWorld.NL,PagalWorld.NL,,src/main/resources/songs/Ninadene Januma.mp3,1042
song18,Barish Aayi Hai_64(PagalWorld.com.se),"Stebin Ben, Shreya Ghoshal,",Hindi,New Hindi Songs 2022,PagalWorld.NL,,src/main/resources/songs/Barish Aayi Hai.mp3,1041
song29,Baatein Ye Kabhi Na Tu Bhulna,Palak Muchhal,Hindi,Bollywood Top Songs (2020),Jeet Ganguly,,src/main/resources/songs/Baatein-Ye-Kabhi-Na-Tu-Bhulna(PaglaSongs).mp3,1027
song6,Ivanu Geleyanalla - PagalWorld.NL,Shreya Ghoshal,Kannada,Mungaru Male (2006) | PagalWorld.NL,PagalWorld.NL,,src/main/resources/songs/Ivanu Geleyanalla.mp3,1024
song59,Yevarini Adaganu,Sai Vignesh,Telugu,Sita Ramam (2022),SenSongMp3,,src/main/resources/songs/Yevarini Adaganu.mp3,1020
song52,Oh Sita Hey Rama,"SPB Charan, Ramya Behara",Telugu,Sita Ramam (2022),SenSongMp3,,src/main/resources/songs/Oh Sita Hey Rama.mp3,1020
song53,Inthandham,"SPB Charan, Ramya Behara",Telugu,Sita Ramam (2022),SenSongMp3,,src/main/resources/songs/Inthandham.mp3,1016
song55,Oh Prema,"Kapil Kapilan, Chinmayi Sripada",Telugu,Sita Ramam (2022),SenSongMp3,,src/main/resources/songs/Oh Prema.mp3,1014
