SongId,Artist,Composer,Album,Language,TotalFrequency
song0,artist31,composer51,album5,language3,4717
song1,artist5,composer25,album9,language4,5050
song2,artist6,composer68,album37,language1,4906
song3,artist28,composer56,album41,language5,4818
song4,artist6,composer7,album19,language0,5107
song5,artist32,composer17,album2,language0,5551
song6,artist85,composer36,album4,language7,5174
song7,artist48,composer88,album26,language8,4814
song8,artist4,composer18,album23,language9,4880
song9,artist32,composer23,album23,language5,5421
song10,artist32,composer65,album37,language3,4927
song11,artist31,composer51,album6,language8,5079
song12,artist68,composer68,album3,language8,5009
song13,artist41,composer20,album26,language1,5300
song14,artist86,composer40,album37,language8,4717
song15,artist63,composer27,album27,language1,5229
song16,artist13,composer66,album40,language1,4964
song17,artist55,composer45,album23,language2,4953
song18,artist49,composer18,album31,language7,5120
song19,artist92,composer99,album19,language1,5015
song20,artist20,composer42,album22,language1,5191
song21,artist55,composer54,album26,language7,4837
song22,artist85,composer99,album33,language6,4483
song23,artist2,composer33,album2,language9,4921
song24,artist11,composer22,album35,language2,4434
song25,artist11,composer31,album22,language1,5082
song26,artist8,composer73,album22,language6,4681
song27,artist60,composer60,album24,language3,5110
song28,artist17,composer86,album36,language2,4847
song29,artist6,composer36,album31,language7,5175
song30,artist91,composer8,album42,language8,4866
song31,artist52,composer33,album8,language2,5029
song32,artist7,composer81,album26,language6,4851
song33,artist40,composer79,album35,language7,5466
song34,artist9,composer46,album0,language6,5096
song35,artist20,composer87,album46,language0,5562
song36,artist68,composer20,album22,language5,5070
song37,artist42,composer49,album42,language4,5283
song38,artist45,composer10,album36,language5,4937
song39,artist68,composer80,album36,language1,4885
song40,artist55,composer5,album28,language7,5138
song41,artist53,composer38,album18,language6,5231
song42,artist61,composer97,album12,language0,4743
song43,artist75,composer64,album0,language7,4961
song44,artist28,composer96,album44,language3,4931
song45,artist1,composer15,album8,language3,5389
song46,artist98,composer21,album21,language7,4745
song47,artist32,composer89,album41,language1,4821
song48,artist51,composer40,album28,language9,5094
song49,artist27,composer25,album32,language4,5499
song50,artist5,composer81,album24,language9,5264
song51,artist51,composer6,album2,language0,5063
song52,artist36,composer8,album23,language9,4737
song53,artist0,composer20,album15,language5,5176
song54,artist61,composer91,album16,language4,5051
song55,artist73,composer6,album47,language1,5470
song56,artist86,composer75,album41,language1,5278
song57,artist78,composer50,album39,language2,5217
song58,artist51,composer4,album30,language0,4643
song59,artist1,composer55,album6,language9,4984
song60,artist26,composer55,album44,language5,4795
song61,artist63,composer72,album23,language0,5045
song62,artist43,composer57,album40,language3,5449
song63,artist71,composer87,album37,language5,5072
song64,artist15,composer79,album15,language8,5756
song65,artist10,composer83,album47,language7,4575
song66,artist5,composer4,album15,language1,5022
song67,artist17,composer81,album23,language9,5092
song68,artist5,composer59,album27,language7,5320
song69,artist83,composer44,album29,language4,4438
song70,artist19,composer93,album8,language6,4763
song71,artist82,composer41,album20,language9,4956
song72,artist85,composer37,album41,language7,4929
song73,artist77,composer19,album5,language4,5123
song74,artist5,composer78,album44,language4,5019
song75,artist12,composer96,album40,language7,4914
song76,artist97,composer12,album3,language0,4961
song77,artist32,composer80,album14,language3,5188
song78,artist97,composer2,album0,language5,5061
song79,artist33,composer86,album36,language6,4776
song80,artist90,composer23,album34,language1,4678
song81,artist83,composer13,album30,language1,5580
song82,artist64,composer58,album36,language4,5738
song83,artist14,composer20,album1,language9,5149
song84,artist69,composer17,album18,language7,4358
song85,artist14,composer12,album34,language6,5434
song86,artist23,composer76,album28,language9,5055
song87,artist99,composer61,album49,language5,4451
song88,artist10,composer65,album46,language2,4876
song89,artist55,composer97,album9,language7,4888
song90,artist47,composer74,album25,language7,4891
song91,artist14,composer73,album30,language8,4938
song92,artist34,composer67,album21,language0,4897
song93,artist22,composer58,album48,language4,4865
song94,artist31,composer33,album6,language4,4663
song95,artist0,composer24,album22,language7,4908
song96,artist53,composer82,album32,language8,5069
song97,artist37,composer58,album48,language8,5156
song98,artist74,composer38,album49,language9,4656
song99,artist96,composer79,album43,language6,5228
song100,artist60,composer9,album35,language8,5071
song101,artist6,composer78,album3,language8,4577
song102,artist5,composer19,album27,language0,5199
song103,artist27,composer88,album19,language6,4555
song104,artist1,composer98,album7,language0,5261
song105,artist21,composer87,album10,language1,5781
song106,artist37,composer27,album5,language7,5330
song107,artist12,composer81,album13,language1,5575
song108,artist1,composer21,album35,language9,5017
song109,artist83,composer24,album14,language9,5690
song110,artist20,composer11,album31,language5,5201
song111,artist7,composer12,album23,language9,5051
song112,artist65,composer73,album41,language6,4735
song113,artist86,composer27,album42,language2,4866
song114,artist97,composer85,album25,language4,5231
song115,artist87,composer90,album7,language5,5374
song116,artist20,composer99,album0,language6,4636
song117,artist18,composer82,album29,language4,4855
song118,artist52,composer61,album17,language8,5352
song119,artist73,composer26,album26,language8,4887
song120,artist46,composer16,album29,language6,4906
song121,artist79,composer47,album38,language1,5221
song122,artist24,composer72,album13,language9,4376
song123,artist37,composer7,album3,language8,4480
song124,artist86,composer24,album30,language1,5263
song125,artist37,composer92,album9,language9,5430
song126,artist20,composer72,album25,language3,4890
song127,artist82,composer35,album34,language5,4777
song128,artist53,composer27,album6,language9,4431
song129,artist74,composer71,album24,language0,5130
song130,artist68,composer94,album46,language6,5205
song131,artist67,composer43,album15,language8,4779
song132,artist15,composer8,album11,language9,5395
song133,artist13,composer10,album18,language0,5282
song134,artist22,composer3,album35,language0,4415
song135,artist45,composer64,album12,language6,4988
song136,artist25,composer95,album29,language7,4542
song137,artist75,composer5,album14,language8,4833
song138,artist46,composer71,album3,language1,5163
song139,artist17,composer54,album32,language6,5298
song140,artist30,composer91,album9,language6,4929
song141,artist62,composer93,album6,language7,5190
song142,artist98,composer42,album46,language5,4881
song143,artist86,composer80,album38,language5,4858
song144,artist77,composer77,album43,language5,5042
song145,artist97,composer32,album21,language6,5239
song146,artist52,composer59,album44,language5,5215
song147,artist86,composer72,album27,language6,4962
song148,artist89,composer35,album43,language5,4506
song149,artist60,composer82,album16,language0,4754
song150,artist79,composer19,album13,language5,4605
song151,artist99,composer94,album4,language1,4640
song152,artist96,composer70,album43,language3,5505
song153,artist12,composer87,album43,language7,5379
song154,artist18,composer16,album45,language5,5474
song155,artist76,composer21,album6,language3,5296
song156,artist38,composer47,album38,language1,4865
song157,artist25,composer11,album28,language1,5277
song158,artist28,composer35,album2,language8,5291
song159,artist22,composer83,album17,language8,5342
song160,artist23,composer19,album12,language5,5026
song161,artist94,composer34,album19,language1,5068
song162,artist97,composer25,album39,language3,4479
song163,artist36,composer18,album19,language5,5346
song164,artist86,composer52,album36,language6,4864
song165,artist75,composer8,album32,language9,5339
song166,artist77,composer75,album38,language8,5747
song167,artist75,composer49,album8,language0,5029
song168,artist43,composer63,album46,language6,5282
song169,artist47,composer59,album40,language2,4751
song170,artist79,composer18,album14,language5,4978
song171,artist66,composer97,album15,language5,4928
song172,artist30,composer75,album43,language2,4652
song173,artist35,composer72,album37,language0,4853
song174,artist0,composer95,album39,language2,4667
song175,artist86,composer33,album31,language4,5283
song176,artist22,composer54,album8,language5,4819
song177,artist21,composer17,album25,language2,5076
song178,artist99,composer90,album8,language8,5372
song179,artist97,composer15,album34,language0,5526
song180,artist99,composer46,album11,language8,4795
song181,artist57,composer46,album20,language6,5383
song182,artist11,composer65,album1,language1,5105
song183,artist3,composer6,album9,language5,4764
song184,artist69,composer14,album25,language7,4762
song185,artist56,composer59,album27,language1,4911
